caseid,age,parents_divorced,parents_separated,ever_married,intention_to_marry,num_marriages,separate_or_divorce
3413,36,5,4,Yes,"NA",1,1
3414,24,NA,NA,No,Probably Yes,0,0
3415,46,NA,NA,Yes,"NA",1,0
3416,41,NA,NA,Yes,"NA",1,0
3417,39,16,15,Yes,"NA",1,0
3418,47,NA,NA,Yes,"NA",2,1
3419,51,NA,NA,Yes,"NA",1,0
3420,38,NA,NA,Yes,"NA",1,0
3421,42,NA,NA,Yes,"NA",1,0
3422,78,NA,NA,Yes,"NA",1,0
3423,47,NA,NA,No,Unsure,0,0
3424,44,NA,NA,Yes,"NA",2,1
3425,65,NA,NA,Yes,"NA",1,0
3426,35,NA,NA,Yes,"NA",1,0
3427,67,NA,NA,Yes,"NA",1,0
3428,45,NA,NA,No,"No, Definitely not",0,0
3429,46,NA,NA,Yes,"NA",1,0
3430,70,NA,NA,Yes,"NA",1,0
3431,25,NA,NA,Yes,"NA",1,0
3432,16,NA,NA,No,"NA",0,0
3433,62,NA,NA,Yes,"NA",1,0
3434,28,8,7,No,Probably Yes,0,0
3435,23,NA,NA,No,"NA",0,0
3436,22,NA,NA,No,Probably Yes,0,0
3437,80,NA,NA,Yes,"No, Definitely not",1,0
3438,39,NA,13,No,Probably Not,0,1
3439,49,NA,NA,Yes,"NA",1,0
3440,35,NA,NA,Yes,Unsure,1,1
3441,35,NA,NA,Yes,"NA",1,1
3442,16,NA,NA,No,"NA",0,0
3443,75,NA,NA,Yes,"NA",1,0
3444,25,NA,NA,No,"NA",0,0
3445,57,NA,NA,No,"NA",0,0
3446,47,NA,NA,Yes,"NA",1,0
3447,53,NA,NA,No,Unsure,0,0
3448,36,NA,NA,Yes,"NA",1,0
3449,76,NA,NA,Yes,"NA",1,0
3450,31,NA,NA,No,Probably Yes,0,0
3451,51,NA,NA,Yes,"NA",1,1
3452,62,NA,NA,Yes,"NA",3,2
3453,28,NA,NA,No,Probably Yes,0,0
3454,60,NA,NA,Yes,"NA",1,0
3455,18,NA,NA,No,"NA",0,0
3456,58,NA,NA,Yes,"No, Definitely not",1,0
3457,47,3,1,Yes,"NA",1,0
3458,73,NA,NA,Yes,"NA",1,2
3459,29,19,18,No,Probably Yes,0,0
3460,74,NA,NA,Yes,"NA",1,0
3461,30,NA,NA,No,Probably Yes,0,0
3462,24,NA,NA,No,"NA",0,1
3463,45,NA,NA,Yes,"NA",1,0
3464,41,NA,NA,Yes,"NA",1,0
3465,30,NA,NA,No,"NA",0,0
3466,58,NA,NA,Yes,"NA",1,0
3467,38,NA,NA,No,Definitely Yes,0,0
3468,57,NA,NA,Yes,Probably Yes,1,1
3469,70,NA,NA,Yes,"No, Definitely not",1,2
3470,29,NA,NA,Yes,"NA",1,1
3471,45,NA,NA,No,"NA",0,0
3472,62,NA,NA,Yes,Unsure,1,0
3473,50,NA,NA,Yes,"NA",1,0
3474,45,13,10,Yes,"NA",1,1
3475,45,NA,NA,Yes,"NA",1,0
3476,53,NA,NA,Yes,Definitely Yes,2,0
3477,48,NA,NA,Yes,"NA",1,0
3478,55,19,6,Yes,"NA",1,0
3479,48,14,13,Yes,"NA",1,0
3480,70,NA,NA,Yes,"NA",2,1
3481,60,NA,NA,No,"No, Definitely not",0,0
3482,31,5,4,No,Definitely Yes,0,0
3483,61,NA,NA,Yes,"NA",1,0
3484,80,NA,NA,Yes,"No, Definitely not",1,0
3485,57,NA,NA,Yes,"NA",1,0
3486,55,NA,NA,No,Unsure,0,1
3487,44,NA,NA,Yes,"NA",1,0
3488,45,18,NA,Yes,"NA",1,1
3489,58,NA,NA,Yes,"NA",1,1
3490,61,NA,NA,Yes,"NA",1,0
3491,49,NA,NA,No,"NA",0,2
3492,30,NA,NA,Yes,"NA",1,0
3493,74,NA,NA,Yes,"NA",1,0
3494,80,NA,NA,Yes,"NA",1,0
3495,59,NA,NA,Yes,"NA",1,0
3496,61,NA,NA,No,Probably Not,0,0
3497,60,NA,NA,Yes,"NA",1,1
3498,58,NA,NA,Yes,"NA",1,0
3499,40,4,2,Yes,"NA",2,1
3500,70,NA,NA,Yes,"NA",1,0
3501,32,20,18,Yes,"NA",1,0
3502,69,NA,NA,Yes,"NA",1,0
3503,30,NA,17,No,"No, Definitely not",0,1
3504,73,NA,NA,Yes,"NA",1,0
3505,38,NA,NA,Yes,"NA",1,0
3506,79,NA,NA,Yes,"No, Definitely not",1,0
3507,70,NA,NA,Yes,Unsure,1,2
3508,70,NA,16,Yes,"No, Definitely not",1,0
3509,38,NA,NA,Yes,"NA",1,0
3510,71,NA,NA,No,Unsure,0,1
3511,26,NA,9,No,"NA",0,2
3512,69,NA,NA,Yes,"No, Definitely not",1,0
3513,62,35,35,Yes,"NA",1,1
3514,16,NA,NA,No,"NA",0,0
3515,39,NA,NA,Yes,"NA",1,1
3516,26,NA,NA,No,"NA",0,0
3517,51,NA,NA,Yes,"NA",1,1
3518,67,NA,NA,Yes,"NA",1,0
3519,45,NA,NA,Yes,"NA",1,0
3520,57,NA,NA,Yes,"NA",1,0
3521,22,6,6,No,"NA",0,1
3522,44,NA,NA,Yes,"NA",1,0
3523,55,NA,12,Yes,"NA",3,4
3524,41,NA,16,No,"NA",0,0
3525,52,NA,NA,Yes,"No, Definitely not",1,2
3526,61,NA,NA,Yes,"NA",1,1
3527,32,NA,NA,No,"No, Definitely not",0,0
3528,63,NA,NA,Yes,"NA",1,0
3529,54,NA,NA,Yes,"NA",2,1
3530,71,NA,NA,Yes,"NA",1,0
3531,80,NA,NA,Yes,"NA",1,0
3532,80,NA,NA,Yes,"No, Definitely not",1,0
3533,28,NA,NA,No,Probably Yes,0,0
3534,50,NA,NA,Yes,"NA",2,1
3535,46,NA,NA,No,"No, Definitely not",0,1
3536,70,NA,10,Yes,"NA",2,1
3537,63,NA,NA,Yes,"NA",1,0
3538,63,NA,NA,Yes,"NA",1,0
3539,65,NA,NA,Yes,"NA",1,1
3540,50,23,NA,No,"NA",0,1
3541,27,NA,NA,No,"NA",0,0
3542,61,NA,NA,Yes,"No, Definitely not",1,2
3543,44,5,NA,No,Unsure,0,0
3544,61,NA,NA,Yes,"NA",1,0
3545,29,NA,15,No,Unsure,0,2
3546,25,NA,NA,No,Definitely Yes,0,0
3547,29,NA,NA,No,Definitely Yes,0,0
3548,80,NA,NA,Yes,"No, Definitely not",1,0
3549,77,NA,NA,Yes,"NA",2,0
3550,61,NA,NA,No,"No, Definitely not",0,1
3551,40,NA,NA,Yes,"NA",1,0
3552,66,NA,NA,Yes,"NA",1,0
3553,74,NA,NA,No,Probably Not,0,0
3554,21,NA,NA,No,Probably Yes,0,0
3555,67,NA,NA,Yes,"NA",1,0
3556,56,NA,NA,Yes,"No, Definitely not",1,2
3557,38,NA,NA,Yes,"NA",1,2
3558,66,NA,NA,Yes,"No, Definitely not",2,1
3559,80,NA,NA,Yes,"No, Definitely not",1,0
3560,60,NA,NA,Yes,"NA",1,0
3561,72,NA,NA,Yes,"NA",1,0
3562,36,NA,NA,Yes,"NA",1,1
3563,53,NA,NA,Yes,"No, Definitely not",1,1
3564,68,25,NA,No,Probably Not,0,1
3565,41,NA,NA,No,"NA",0,0
3566,62,NA,NA,No,"No, Definitely not",0,0
3567,37,28,4,Yes,"NA",1,0
3568,30,NA,NA,Yes,"NA",1,0
3569,65,NA,NA,Yes,"NA",1,0
3570,53,NA,NA,Yes,"NA",1,0
3571,63,NA,NA,Yes,"No, Definitely not",1,1
3572,49,NA,NA,Yes,Probably Not,1,2
3573,80,NA,NA,Yes,"No, Definitely not",1,0
3574,75,NA,NA,Yes,"NA",1,0
3575,70,NA,NA,Yes,"No, Definitely not",1,0
3576,79,NA,5,Yes,"No, Definitely not",1,1
3577,65,NA,NA,Yes,"NA",2,0
3578,80,NA,NA,Yes,"No, Definitely not",1,0
3579,49,NA,NA,Yes,"NA",1,0
3580,57,NA,NA,Yes,"NA",2,1
3581,62,30,30,Yes,"NA",1,0
3582,44,NA,NA,Yes,"NA",1,0
3583,32,14,13,Yes,"NA",1,3
3584,46,NA,NA,No,"No, Definitely not",0,1
3585,55,NA,NA,Yes,"NA",1,0
3586,35,23,15,No,"No, Definitely not",0,1
3587,42,NA,NA,Yes,"NA",1,0
3588,15,NA,NA,No,"NA",0,0
3589,69,NA,NA,Yes,Probably Not,3,3
3590,74,NA,NA,Yes,"NA",1,1
3591,60,NA,NA,Yes,Probably Not,1,1
3592,74,NA,NA,Yes,"No, Definitely not",1,0
3593,47,5,4,Yes,"NA",1,0
3594,50,NA,NA,Yes,"No, Definitely not",1,0
3595,34,9,7,Yes,"NA",1,0
3596,42,3,3,Yes,"NA",1,0
3597,21,18,18,No,Definitely Yes,0,1
3598,64,NA,NA,Yes,"NA",1,0
3599,57,NA,NA,Yes,"NA",1,0
3600,54,NA,NA,Yes,"NA",1,1
3601,18,NA,NA,No,"NA",0,0
3602,46,18,16,Yes,"NA",1,0
3603,33,NA,NA,Yes,"NA",1,0
3604,45,NA,NA,Yes,"NA",1,0
3605,17,NA,NA,No,"NA",0,0
3606,72,NA,NA,Yes,"NA",1,0
3607,30,NA,NA,Yes,"NA",1,1
3608,35,NA,NA,Yes,"NA",1,0
3609,53,NA,NA,No,Probably Not,0,1
3610,20,NA,NA,No,Probably Yes,0,0
3611,39,NA,NA,Yes,"NA",1,0
3612,66,NA,NA,Yes,"No, Definitely not",1,1
3613,61,NA,NA,Yes,"NA",2,1
3614,40,NA,NA,No,"NA",0,0
3615,80,NA,9,Yes,"No, Definitely not",1,1
3616,67,16,14,No,"NA",0,1
3617,67,NA,NA,Yes,"NA",1,0
3618,56,NA,NA,Yes,"NA",1,3
3619,51,NA,NA,No,Probably Not,0,1
3620,27,NA,NA,No,Probably Yes,0,1
3621,34,NA,NA,Yes,"NA",1,0
3622,26,NA,4,No,"NA",0,1
3623,56,NA,NA,No,"NA",0,0
3624,80,NA,NA,Yes,"No, Definitely not",1,0
3625,78,NA,NA,Yes,"NA",1,0
3626,40,12,NA,Yes,"NA",1,0
3627,53,NA,NA,Yes,"NA",1,0
3628,31,NA,NA,Yes,"NA",1,0
3629,55,NA,NA,Yes,"NA",1,0
3630,61,NA,NA,Yes,"NA",1,0
3631,39,NA,NA,Yes,"NA",1,1
3632,69,NA,NA,Yes,Probably Not,1,0
3633,26,NA,21,No,"NA",0,0
3634,28,NA,NA,No,"NA",0,0
3635,42,NA,3,Yes,"No, Definitely not",1,2
3636,78,NA,NA,Yes,"NA",1,0
3637,74,NA,NA,Yes,Probably Not,1,1
3638,72,NA,NA,Yes,"No, Definitely not",1,0
3639,57,NA,NA,Yes,"NA",1,0
3640,19,NA,NA,No,"NA",0,0
3641,32,NA,NA,No,Probably Yes,0,1
3642,60,NA,NA,Yes,"NA",2,2
3643,73,NA,NA,Yes,"NA",1,0
3644,71,NA,NA,Yes,"NA",1,0
3645,42,NA,NA,No,"NA",0,1
3646,29,NA,NA,Yes,"NA",1,0
3647,46,NA,NA,Yes,"NA",2,1
3648,29,NA,NA,Yes,"NA",1,0
3649,62,NA,NA,No,Probably Yes,0,1
3650,34,NA,NA,No,"NA",0,0
3651,34,NA,NA,Yes,"NA",1,0
3652,32,5,4,Yes,"NA",1,0
3653,57,NA,NA,Yes,"NA",1,0
3654,67,NA,NA,Yes,"No, Definitely not",1,1
3655,53,NA,3,Yes,"NA",1,0
3656,36,NA,NA,Yes,"NA",1,0
3657,60,NA,NA,Yes,"NA",2,1
3658,62,NA,NA,No,Unsure,0,0
3659,70,NA,NA,Yes,"NA",2,1
3660,26,NA,NA,No,Probably Yes,0,0
3661,74,NA,NA,Yes,Probably Not,2,2
3662,52,NA,NA,No,Probably Yes,0,1
3663,54,NA,NA,Yes,"NA",1,1
3664,30,NA,NA,No,"NA",0,0
3665,26,NA,22,No,Probably Yes,0,0
3666,60,NA,NA,Yes,"NA",1,0
3667,58,9,8,No,"NA",0,2
3668,62,NA,NA,Yes,"NA",1,0
3669,46,NA,NA,Yes,"NA",1,0
3670,73,NA,NA,Yes,"NA",2,2
3671,59,2,2,No,Probably Not,0,1
3672,23,NA,NA,No,"NA",0,0
3673,41,NA,NA,No,"NA",0,0
3674,34,10,9,No,"NA",0,0
3675,38,NA,NA,Yes,"NA",2,1
3676,46,NA,NA,Yes,"NA",1,0
3677,64,NA,NA,Yes,Unsure,2,1
3678,72,NA,NA,Yes,Probably Not,1,0
3679,62,NA,NA,Yes,"No, Definitely not",1,0
3680,49,NA,NA,No,Probably Not,0,0
3681,66,NA,NA,Yes,"NA",1,0
3682,44,NA,NA,No,"NA",0,1
3683,66,NA,NA,Yes,"NA",1,0
3684,79,NA,NA,Yes,"NA",1,0
3685,24,12,9,No,Unsure,0,0
3686,65,NA,NA,Yes,"NA",1,1
3687,31,NA,NA,No,Probably Yes,0,0
3688,45,NA,NA,No,"NA",0,0
3689,76,NA,NA,Yes,Probably Not,1,1
3690,70,NA,NA,Yes,"NA",1,0
3691,39,NA,NA,Yes,Probably Not,1,1
3692,34,NA,NA,No,"No, Definitely not",0,1
3693,28,NA,NA,Yes,"NA",1,0
3694,68,NA,NA,Yes,"NA",2,0
3695,23,10,NA,No,Probably Yes,0,1
3696,69,NA,NA,No,Probably Not,0,0
3697,65,NA,NA,Yes,"NA",1,0
3698,46,NA,NA,No,Probably Not,0,1
3699,48,NA,NA,Yes,"NA",1,0
3700,66,NA,NA,Yes,"NA",1,0
3701,64,NA,NA,Yes,"NA",2,1
3702,65,NA,NA,Yes,"NA",1,0
3703,67,NA,NA,Yes,"NA",1,0
3704,41,NA,NA,Yes,"NA",1,0
3705,35,NA,NA,No,"NA",0,0
3706,63,NA,NA,Yes,"NA",2,1
3707,63,NA,NA,Yes,"NA",1,0
3708,51,NA,NA,No,"NA",0,0
3709,70,NA,NA,Yes,"No, Definitely not",1,0
3710,33,NA,NA,No,"NA",0,1
3711,61,NA,NA,Yes,"NA",1,0
3712,63,NA,NA,No,"No, Definitely not",0,1
3713,38,NA,NA,No,"No, Definitely not",0,1
3714,25,NA,NA,No,Probably Yes,0,0
3715,66,NA,NA,Yes,Probably Not,1,0
3716,45,NA,NA,No,"NA",0,0
3717,58,NA,NA,Yes,"NA",1,0
3718,79,NA,NA,Yes,"NA",1,0
3719,76,NA,NA,Yes,"No, Definitely not",1,0
3720,34,17,16,Yes,"NA",1,1
3721,28,NA,NA,No,"NA",0,0
3722,57,NA,NA,Yes,"NA",2,1
3723,32,NA,NA,No,Probably Yes,0,1
3724,60,NA,NA,No,Probably Not,0,0
3725,75,NA,NA,Yes,"No, Definitely not",1,0
3726,76,NA,NA,Yes,"NA",1,0
3727,57,NA,NA,Yes,"NA",1,0
3728,54,NA,NA,Yes,"NA",1,0
3729,44,NA,19,Yes,"NA",1,0
3730,46,NA,NA,Yes,"NA",1,0
3731,58,NA,NA,No,"NA",0,0
3732,40,NA,NA,Yes,"NA",1,0
3733,16,NA,NA,No,"NA",0,0
3734,60,NA,28,Yes,"NA",1,0
3735,61,16,16,Yes,"NA",1,0
3736,73,NA,NA,Yes,"No, Definitely not",1,0
3737,67,NA,NA,No,"No, Definitely not",0,3
3738,57,NA,NA,No,Probably Not,0,0
3739,39,NA,NA,Yes,"NA",1,1
3740,29,NA,NA,No,Probably Yes,0,0
3741,80,NA,NA,Yes,"NA",1,0
3742,67,NA,NA,Yes,"NA",1,0
3743,60,NA,NA,Yes,"NA",1,0
3744,27,NA,NA,No,"NA",0,0
3745,54,NA,NA,Yes,"NA",1,0
3746,54,23,22,Yes,"NA",2,2
3747,24,NA,NA,No,Probably Not,0,0
3748,54,22,2,Yes,Unsure,1,0
3749,45,NA,NA,Yes,"NA",1,0
3750,73,NA,NA,Yes,"NA",1,0
3751,59,NA,NA,Yes,"NA",1,1
3752,64,NA,NA,Yes,"NA",1,0
3753,78,NA,NA,Yes,"No, Definitely not",1,0
3754,29,NA,NA,Yes,"NA",1,0
3755,65,NA,NA,Yes,"NA",2,1
3756,20,NA,NA,No,Probably Yes,0,0
3757,31,8,8,No,"NA",0,3
3758,80,NA,NA,Yes,"NA",1,0
3759,69,NA,NA,Yes,"NA",1,0
3760,49,NA,NA,No,Probably Not,0,1
3761,58,NA,NA,Yes,Probably Not,1,2
3762,37,33,33,Yes,"NA",1,0
3763,35,NA,NA,Yes,"NA",1,1
3764,68,NA,NA,Yes,"NA",1,0
3765,21,5,5,No,"NA",0,0
3766,43,NA,NA,Yes,"NA",1,0
3767,65,NA,NA,No,Probably Not,0,1
3768,15,NA,NA,No,"NA",0,0
3769,55,NA,NA,Yes,"NA",1,0
3770,78,NA,NA,Yes,"No, Definitely not",1,0
3771,55,NA,NA,Yes,"NA",1,0
3772,17,4,4,No,"NA",0,0
3773,15,NA,NA,No,"NA",0,0
3774,64,NA,NA,Yes,"NA",2,1
3775,70,NA,NA,Yes,Unsure,1,1
3776,69,NA,NA,No,"NA",0,0
3777,55,NA,NA,No,"NA",0,0
3778,67,NA,NA,Yes,"NA",1,0
3779,40,NA,NA,No,"NA",0,0
3780,42,NA,NA,Yes,"NA",1,0
3781,32,NA,NA,Yes,"No, Definitely not",1,2
3782,48,NA,NA,No,"No, Definitely not",0,2
3783,78,7,7,Yes,"NA",1,1
3784,68,15,11,Yes,"NA",2,1
3785,69,NA,NA,Yes,"NA",1,0
3786,54,NA,NA,Yes,"NA",1,0
3787,19,NA,NA,No,"NA",0,0
3788,80,NA,NA,Yes,"No, Definitely not",1,0
3789,43,NA,NA,Yes,"NA",1,0
3790,43,NA,32,Yes,Unsure,1,1
3791,30,NA,NA,No,"NA",0,1
3792,73,NA,NA,Yes,"NA",1,0
3793,50,NA,NA,Yes,"NA",1,1
3794,25,NA,NA,No,"NA",0,1
3795,46,NA,NA,Yes,"NA",1,1
3796,71,NA,NA,Yes,"No, Definitely not",1,2
3797,40,NA,NA,Yes,Probably Yes,1,2
3798,40,NA,NA,No,Probably Not,0,1
3799,39,NA,NA,No,"NA",0,0
3800,15,9,9,No,"NA",0,0
3801,19,NA,NA,No,"NA",0,0
3802,54,NA,NA,Yes,Unsure,1,1
3803,79,NA,NA,Yes,"No, Definitely not",1,0
3804,21,NA,10,No,Unsure,0,2
3805,54,NA,NA,Yes,"NA",3,2
3806,66,NA,NA,No,"NA",0,0
3807,53,NA,NA,Yes,"No, Definitely not",2,1
3808,20,NA,NA,No,"NA",0,0
3809,80,NA,NA,Yes,"NA",1,1
3810,59,NA,NA,No,Unsure,0,0
3811,41,20,NA,Yes,"NA",1,0
3812,64,NA,NA,Yes,"NA",1,0
3813,70,NA,NA,Yes,"NA",1,0
3814,61,25,25,Yes,"NA",1,0
3815,62,NA,NA,Yes,"NA",2,2
3816,52,NA,NA,No,"NA",0,0
3817,58,NA,NA,Yes,"No, Definitely not",1,0
3818,42,NA,NA,Yes,"NA",2,1
3819,22,NA,22,No,Unsure,0,3
3820,15,NA,NA,No,"NA",0,0
3821,70,NA,16,Yes,"NA",1,0
3822,49,NA,NA,Yes,"NA",2,1
3823,42,NA,NA,Yes,"NA",1,0
3824,39,NA,NA,Yes,"NA",1,0
3825,46,NA,NA,No,"NA",0,0
3826,64,NA,NA,Yes,"NA",2,1
3827,66,27,NA,No,"No, Definitely not",0,2
3828,52,NA,NA,Yes,"NA",1,2
3829,37,NA,NA,No,Probably Not,0,0
3830,38,33,8,Yes,"NA",1,1
3831,68,NA,NA,Yes,"NA",1,0
3832,30,NA,NA,Yes,"NA",1,0
3833,80,NA,NA,Yes,"NA",1,0
3834,72,NA,NA,Yes,Probably Not,1,1
3835,35,NA,NA,Yes,"NA",1,0
3836,41,6,6,Yes,"NA",1,1
3837,47,14,12,Yes,"NA",1,1
3838,17,5,5,No,"NA",0,0
3839,44,NA,5,No,"NA",0,1
3840,71,NA,NA,Yes,"NA",1,1
3841,70,NA,NA,Yes,"NA",1,0
3842,70,NA,NA,Yes,"NA",1,0
3843,15,NA,1,No,"NA",0,0
3844,23,NA,NA,No,"NA",0,0
3845,67,NA,NA,Yes,"No, Definitely not",1,0
3846,64,NA,NA,No,"NA",0,1
3847,45,NA,NA,No,Unsure,0,0
3848,51,NA,NA,Yes,"NA",1,0
3849,56,NA,NA,No,"NA",0,0
3850,40,NA,NA,Yes,"NA",1,0
3851,41,NA,NA,No,"NA",0,0
3852,70,NA,NA,Yes,"NA",1,0
3853,80,NA,NA,Yes,"NA",1,0
3854,33,NA,NA,Yes,"NA",1,0
3855,29,NA,NA,No,Probably Yes,0,2
3856,35,NA,NA,Yes,"NA",1,1
3857,59,NA,NA,Yes,"NA",1,0
3858,48,NA,NA,Yes,"NA",1,0
3859,61,NA,NA,Yes,"NA",1,1
3860,34,19,17,No,Probably Yes,0,0
3861,61,NA,NA,Yes,"NA",1,1
3862,41,NA,NA,Yes,"NA",1,0
3863,51,20,18,Yes,"NA",2,3
3864,26,NA,5,No,"NA",0,0
3865,24,NA,NA,Yes,"NA",1,0
3866,55,NA,NA,Yes,"NA",1,0
3867,42,NA,NA,Yes,"NA",1,0
3868,62,NA,NA,Yes,"NA",2,2
3869,74,NA,NA,Yes,"NA",1,0
3870,39,NA,NA,Yes,"NA",1,1
3871,17,NA,3,No,"NA",0,0
3872,57,NA,NA,No,"NA",0,1
3873,24,14,14,No,Probably Yes,0,0
3874,51,NA,NA,Yes,"NA",1,0
3875,71,NA,NA,Yes,"NA",1,0
3876,73,NA,NA,Yes,"NA",1,0
3877,68,NA,NA,Yes,"No, Definitely not",1,1
3878,52,NA,NA,No,"NA",0,2
3879,66,NA,NA,Yes,"NA",1,0
3880,80,NA,NA,Yes,"No, Definitely not",1,0
3881,80,NA,NA,No,"No, Definitely not",0,0
3882,71,NA,NA,Yes,Probably Not,1,0
3883,76,NA,NA,No,"No, Definitely not",0,0
3884,50,NA,NA,No,"NA",0,0
3885,55,NA,NA,Yes,"NA",2,3
3886,30,NA,NA,No,"NA",0,0
3887,70,NA,NA,Yes,"NA",1,0
3888,71,NA,NA,Yes,"NA",2,2
3889,40,NA,NA,No,"NA",0,0
3890,69,NA,NA,Yes,"NA",1,1
3891,18,NA,NA,No,"NA",0,0
3892,54,NA,NA,Yes,"NA",1,0
3893,53,8,6,Yes,"NA",1,0
3894,51,NA,NA,Yes,"NA",1,0
3895,37,NA,NA,Yes,Unsure,1,1
3896,58,NA,NA,Yes,"NA",1,0
3897,17,NA,NA,No,"NA",0,0
3898,62,NA,NA,Yes,"NA",1,0
3899,57,NA,NA,No,Probably Yes,0,0
3900,67,NA,NA,Yes,"NA",1,0
3901,59,NA,NA,Yes,"NA",1,0
3902,80,NA,NA,Yes,"No, Definitely not",1,0
3903,70,NA,NA,Yes,Probably Not,1,0
3904,80,NA,NA,Yes,"NA",1,0
3905,40,NA,NA,Yes,"NA",2,2
3906,46,NA,NA,Yes,"NA",2,1
3907,27,NA,NA,No,Unsure,0,0
3908,58,NA,NA,No,Unsure,0,0
3909,32,NA,NA,No,"NA",0,1
3910,24,NA,NA,No,"NA",0,0
3911,75,NA,NA,Yes,"No, Definitely not",1,1
3912,80,NA,NA,Yes,"No, Definitely not",1,1
3913,73,NA,NA,Yes,"NA",1,0
3914,30,NA,NA,No,Probably Not,0,0
3915,37,NA,NA,Yes,"NA",1,2
3916,60,NA,NA,Yes,"NA",2,1
3917,80,NA,NA,Yes,"NA",1,0
3918,67,NA,NA,Yes,"NA",1,0
3919,58,NA,NA,Yes,"NA",1,0
3920,66,NA,NA,Yes,"No, Definitely not",1,2
3921,42,NA,NA,Yes,"NA",1,0
3922,31,NA,NA,No,"NA",0,0
3923,74,NA,NA,Yes,"NA",2,2
3924,63,NA,NA,Yes,"NA",1,0
3925,62,NA,NA,Yes,"NA",1,2
3926,52,NA,NA,No,Probably Not,0,1
3927,74,NA,NA,Yes,"NA",2,1
3928,62,NA,NA,Yes,"NA",1,0
3929,37,NA,NA,No,Definitely Yes,0,0
3930,45,NA,NA,No,Probably Not,0,0
3931,39,NA,NA,Yes,"NA",1,0
3932,80,NA,NA,Yes,"No, Definitely not",1,0
3933,32,10,7,No,Probably Yes,0,0
3934,23,NA,NA,Yes,"NA",1,0
3935,76,NA,NA,Yes,"No, Definitely not",1,0
3936,49,NA,NA,Yes,"NA",1,0
3937,41,NA,NA,No,"NA",0,1
3938,66,NA,NA,Yes,"NA",1,1
3939,75,NA,NA,Yes,"No, Definitely not",1,1
3940,78,NA,NA,Yes,"NA",1,0
3941,69,NA,NA,Yes,"No, Definitely not",1,1
3942,32,NA,3,Yes,"NA",1,0
3943,78,NA,NA,Yes,"NA",2,1
3944,54,NA,NA,Yes,"NA",2,1
3945,31,NA,NA,Yes,"NA",1,0
3946,50,NA,NA,No,Unsure,0,1
3947,74,NA,NA,Yes,"NA",2,0
3948,51,NA,NA,Yes,"NA",1,0
3949,67,NA,NA,Yes,"NA",1,0
3950,80,NA,NA,Yes,"No, Definitely not",1,0
3951,59,NA,NA,Yes,"NA",1,0
3952,71,NA,NA,Yes,"No, Definitely not",1,0
3953,80,NA,15,No,"No, Definitely not",0,0
3954,62,NA,NA,Yes,"NA",1,0
3955,62,NA,NA,Yes,"NA",1,0
3956,54,NA,NA,Yes,"NA",1,0
3957,23,NA,1,No,Definitely Yes,0,0
3958,47,NA,NA,Yes,"NA",1,1
3959,55,NA,NA,Yes,"NA",2,1
3960,46,NA,NA,Yes,"NA",1,0
3961,66,NA,NA,Yes,"NA",1,0
3962,60,27,7,Yes,"NA",2,1
3963,62,NA,NA,Yes,"NA",1,0
3964,75,NA,NA,Yes,"NA",1,0
3965,15,NA,NA,No,"NA",0,0
3966,62,NA,NA,Yes,Unsure,1,2
3967,53,NA,NA,No,Unsure,0,0
3968,59,NA,NA,Yes,"NA",1,0
3969,63,NA,NA,Yes,"NA",1,0
3970,68,NA,NA,Yes,"NA",1,0
3971,37,NA,NA,Yes,"NA",1,0
3972,52,NA,NA,Yes,"NA",1,0
3973,77,NA,NA,Yes,"No, Definitely not",1,0
3974,43,NA,NA,Yes,"NA",1,0
3975,52,30,30,Yes,"NA",2,1
3976,73,NA,NA,Yes,"No, Definitely not",1,0
3977,35,8,7,Yes,"NA",1,0
3978,71,NA,NA,Yes,"NA",2,1
3979,69,NA,NA,Yes,"No, Definitely not",1,1
3980,75,NA,NA,Yes,"NA",1,0
3981,57,NA,NA,Yes,"NA",1,1
3982,61,NA,NA,Yes,"NA",1,1
3983,73,NA,NA,Yes,"NA",1,0
3984,75,11,0,Yes,Probably Not,2,2
3985,80,NA,NA,Yes,"No, Definitely not",1,0
3986,60,NA,NA,Yes,"NA",1,0
3987,69,NA,NA,Yes,"No, Definitely not",1,1
3988,60,NA,NA,Yes,Definitely Yes,1,1
3989,67,27,NA,Yes,"NA",1,0
3990,43,NA,NA,No,"NA",0,1
3991,41,NA,NA,Yes,"NA",1,0
3992,55,NA,NA,Yes,"No, Definitely not",2,3
3993,64,NA,NA,Yes,"NA",1,0
3994,65,NA,NA,Yes,"NA",1,0
3995,37,NA,9,No,Probably Not,0,1
3996,74,NA,NA,Yes,"NA",1,0
3997,54,NA,NA,Yes,"NA",1,1
3998,39,NA,NA,Yes,"NA",1,0
3999,42,NA,NA,Yes,"NA",1,0
4000,44,NA,NA,Yes,"NA",1,0
4001,28,NA,NA,Yes,"NA",1,1
4002,57,25,25,Yes,"NA",1,1
4003,66,NA,NA,Yes,"NA",2,1
4004,58,NA,NA,No,Probably Not,0,0
4005,55,NA,NA,Yes,"No, Definitely not",1,1
4006,51,5,5,No,"NA",0,0
4007,43,18,18,Yes,"NA",1,0
4008,76,NA,NA,Yes,"No, Definitely not",1,0
4009,35,2,2,Yes,"NA",1,2
4010,54,NA,NA,Yes,"No, Definitely not",1,0
4011,22,NA,NA,No,Probably Yes,0,0
4012,30,NA,NA,No,Definitely Yes,0,0
4013,19,NA,NA,No,"NA",0,0
